Starting training on Pendulum-v1...
Episode: 162, Steps: 200, Sigma: 0.930, Reward: -1079.03
Episode: 163, Steps: 200, Sigma: 0.930, Reward: -386.41
Episode: 164, Steps: 200, Sigma: 0.929, Reward: -867.07
Episode: 165, Steps: 200, Sigma: 0.929, Reward: -656.62
Episode: 166, Steps: 200, Sigma: 0.928, Reward: -1402.62
Episode: 167, Steps: 200, Sigma: 0.928, Reward: -1281.71
Episode: 168, Steps: 200, Sigma: 0.927, Reward: -1499.74
Episode: 169, Steps: 200, Sigma: 0.927, Reward: -1470.04
Episode: 170, Steps: 200, Sigma: 0.927, Reward: -1298.02
Episode: 171, Steps: 200, Sigma: 0.926, Reward: -1249.43
Episode: 172, Steps: 200, Sigma: 0.926, Reward: -1208.97
Episode: 173, Steps: 200, Sigma: 0.925, Reward: -1093.63
Episode: 174, Steps: 200, Sigma: 0.925, Reward: -1075.17
Episode: 175, Steps: 200, Sigma: 0.925, Reward: -1096.00
Episode: 176, Steps: 200, Sigma: 0.924, Reward: -1031.05
Episode: 177, Steps: 200, Sigma: 0.924, Reward: -1145.53
Episode: 178, Steps: 200, Sigma: 0.923, Reward: -1417.07
Episode: 179, Steps: 200, Sigma: 0.923, Reward: -933.11
Episode: 180, Steps: 200, Sigma: 0.923, Reward: -1481.51
Episode: 181, Steps: 200, Sigma: 0.922, Reward: -1495.43
Episode: 182, Steps: 200, Sigma: 0.922, Reward: -1524.03
Episode: 183, Steps: 200, Sigma: 0.921, Reward: -945.44
Episode: 184, Steps: 200, Sigma: 0.921, Reward: -1444.09
Episode: 185, Steps: 200, Sigma: 0.920, Reward: -818.58
Episode: 186, Steps: 200, Sigma: 0.920, Reward: -1191.34
Episode: 187, Steps: 200, Sigma: 0.920, Reward: -940.79
Episode: 188, Steps: 200, Sigma: 0.919, Reward: -1607.96
Episode: 189, Steps: 200, Sigma: 0.919, Reward: -953.05
Episode: 190, Steps: 200, Sigma: 0.918, Reward: -1617.18
Episode: 191, Steps: 200, Sigma: 0.918, Reward: -1231.54
Episode: 192, Steps: 200, Sigma: 0.918, Reward: -1630.34
Episode: 193, Steps: 200, Sigma: 0.917, Reward: -840.91
Episode: 194, Steps: 200, Sigma: 0.917, Reward: -1427.69
Episode: 195, Steps: 200, Sigma: 0.916, Reward: -1496.76
Episode: 196, Steps: 200, Sigma: 0.916, Reward: -1589.33
Episode: 197, Steps: 200, Sigma: 0.916, Reward: -1226.35
Episode: 198, Steps: 200, Sigma: 0.915, Reward: -1508.54
Episode: 199, Steps: 200, Sigma: 0.915, Reward: -1648.13
Episode: 200, Steps: 200, Sigma: 0.914, Reward: -1119.51
Episode: 201, Steps: 200, Sigma: 0.914, Reward: -1650.28
Episode: 202, Steps: 200, Sigma: 0.914, Reward: -1491.15
Episode: 203, Steps: 200, Sigma: 0.913, Reward: -1632.34
Episode: 204, Steps: 200, Sigma: 0.913, Reward: -1321.09
Episode: 205, Steps: 200, Sigma: 0.912, Reward: -1621.45
Episode: 206, Steps: 200, Sigma: 0.912, Reward: -1400.31
Episode: 207, Steps: 200, Sigma: 0.912, Reward: -1681.92
Episode: 208, Steps: 200, Sigma: 0.911, Reward: -1493.84
Episode: 209, Steps: 200, Sigma: 0.911, Reward: -1514.88
Episode: 210, Steps: 200, Sigma: 0.910, Reward: -1653.07
Episode: 211, Steps: 200, Sigma: 0.910, Reward: -1447.48
Episode: 212, Steps: 200, Sigma: 0.909, Reward: -1025.74
Episode: 213, Steps: 200, Sigma: 0.909, Reward: -950.26
Episode: 214, Steps: 200, Sigma: 0.909, Reward: -1652.63
Episode: 215, Steps: 200, Sigma: 0.908, Reward: -1517.83
Episode: 216, Steps: 200, Sigma: 0.908, Reward: -1127.77
Episode: 217, Steps: 200, Sigma: 0.907, Reward: -1532.29
Episode: 218, Steps: 200, Sigma: 0.907, Reward: -1480.27
Episode: 219, Steps: 200, Sigma: 0.907, Reward: -1502.15
Episode: 220, Steps: 200, Sigma: 0.906, Reward: -1691.09
Episode: 221, Steps: 200, Sigma: 0.906, Reward: -959.27
Episode: 222, Steps: 200, Sigma: 0.905, Reward: -1668.80
Episode: 223, Steps: 200, Sigma: 0.905, Reward: -1464.61
Episode: 224, Steps: 200, Sigma: 0.905, Reward: -1520.88
Episode: 225, Steps: 200, Sigma: 0.904, Reward: -1492.31
Episode: 226, Steps: 200, Sigma: 0.904, Reward: -1632.22
