Starting training on Pendulum-v1...
Episode: 266, Steps: 200, Total Reward: -1302.21
Episode: 267, Steps: 200, Total Reward: -1317.03
Episode: 268, Steps: 200, Total Reward: -1083.28
Episode: 269, Steps: 200, Total Reward: -991.02
Episode: 270, Steps: 200, Total Reward: -1489.40
Episode: 271, Steps: 200, Total Reward: -1683.01
Episode: 272, Steps: 200, Total Reward: -1519.54
Episode: 273, Steps: 200, Total Reward: -1665.46
Episode: 274, Steps: 200, Total Reward: -1605.23
Episode: 275, Steps: 200, Total Reward: -1587.20
Episode: 276, Steps: 200, Total Reward: -1468.83
Episode: 277, Steps: 200, Total Reward: -1697.21
Episode: 278, Steps: 200, Total Reward: -1549.77
Episode: 279, Steps: 200, Total Reward: -1428.59
Episode: 280, Steps: 200, Total Reward: -1337.78
Episode: 281, Steps: 200, Total Reward: -1210.43
Episode: 282, Steps: 200, Total Reward: -1770.93
Episode: 283, Steps: 200, Total Reward: -1293.40
Episode: 284, Steps: 200, Total Reward: -1258.42
Episode: 285, Steps: 200, Total Reward: -1397.78
Episode: 286, Steps: 200, Total Reward: -1176.10
Episode: 287, Steps: 200, Total Reward: -1122.24
Episode: 288, Steps: 200, Total Reward: -1255.85
Episode: 289, Steps: 200, Total Reward: -1411.68
Episode: 290, Steps: 200, Total Reward: -1335.51
Episode: 291, Steps: 200, Total Reward: -1262.08
Episode: 292, Steps: 200, Total Reward: -1202.39
Episode: 293, Steps: 200, Total Reward: -972.37
Episode: 294, Steps: 200, Total Reward: -1657.36
Episode: 295, Steps: 200, Total Reward: -1677.69
Episode: 296, Steps: 200, Total Reward: -793.74
Episode: 297, Steps: 200, Total Reward: -1633.01
Episode: 298, Steps: 200, Total Reward: -1456.10
Episode: 299, Steps: 200, Total Reward: -1669.80
Episode: 300, Steps: 200, Total Reward: -1352.82
Episode: 301, Steps: 200, Total Reward: -1272.00
Episode: 302, Steps: 200, Total Reward: -1567.09
Episode: 303, Steps: 200, Total Reward: -1553.52
Episode: 304, Steps: 200, Total Reward: -1502.56
Episode: 305, Steps: 200, Total Reward: -1170.07
Episode: 306, Steps: 200, Total Reward: -1439.26
Episode: 307, Steps: 200, Total Reward: -1689.31
Episode: 308, Steps: 200, Total Reward: -1798.18
Episode: 309, Steps: 200, Total Reward: -1334.62
Episode: 310, Steps: 200, Total Reward: -1562.79
Episode: 311, Steps: 200, Total Reward: -1531.21
Episode: 312, Steps: 200, Total Reward: -1285.26
Episode: 313, Steps: 200, Total Reward: -1488.91
Episode: 314, Steps: 200, Total Reward: -1108.43
Episode: 315, Steps: 200, Total Reward: -1421.34
Episode: 316, Steps: 200, Total Reward: -1505.45
Episode: 317, Steps: 200, Total Reward: -1374.72
Episode: 318, Steps: 200, Total Reward: -1396.50
Episode: 319, Steps: 200, Total Reward: -1523.87
Episode: 320, Steps: 200, Total Reward: -1450.36
Episode: 321, Steps: 200, Total Reward: -1353.12
Episode: 322, Steps: 200, Total Reward: -1317.46
Episode: 323, Steps: 200, Total Reward: -1692.01
Episode: 324, Steps: 200, Total Reward: -1346.94
Episode: 325, Steps: 200, Total Reward: -1465.36
Episode: 326, Steps: 200, Total Reward: -1677.33
Episode: 327, Steps: 200, Total Reward: -1649.72
Episode: 328, Steps: 200, Total Reward: -1676.16
Episode: 329, Steps: 200, Total Reward: -1576.06
Episode: 330, Steps: 200, Total Reward: -1568.16
Episode: 331, Steps: 200, Total Reward: -1753.87
Episode: 332, Steps: 200, Total Reward: -1330.99
Episode: 333, Steps: 200, Total Reward: -1681.06
Episode: 334, Steps: 200, Total Reward: -1571.85
Episode: 335, Steps: 200, Total Reward: -1781.34
Episode: 336, Steps: 200, Total Reward: -1490.30
Episode: 337, Steps: 200, Total Reward: -1680.66
Episode: 338, Steps: 200, Total Reward: -1473.88
Episode: 339, Steps: 200, Total Reward: -1702.39
Episode: 340, Steps: 200, Total Reward: -1635.09
Episode: 341, Steps: 200, Total Reward: -1721.43
Episode: 342, Steps: 200, Total Reward: -1492.72
Episode: 343, Steps: 200, Total Reward: -1484.10
Episode: 344, Steps: 200, Total Reward: -1515.85
Episode: 345, Steps: 200, Total Reward: -1585.47
Episode: 346, Steps: 200, Total Reward: -1555.27
Episode: 347, Steps: 200, Total Reward: -1705.45
Episode: 348, Steps: 200, Total Reward: -1696.54
Episode: 349, Steps: 200, Total Reward: -1662.46
Episode: 350, Steps: 200, Total Reward: -1650.61
Episode: 351, Steps: 200, Total Reward: -1503.67
Episode: 352, Steps: 200, Total Reward: -1388.91
Episode: 353, Steps: 200, Total Reward: -1556.81
Episode: 354, Steps: 200, Total Reward: -1359.81
Episode: 355, Steps: 200, Total Reward: -1626.74
Episode: 356, Steps: 200, Total Reward: -1301.54
Episode: 357, Steps: 200, Total Reward: -1578.95
Episode: 358, Steps: 200, Total Reward: -1238.98
Episode: 359, Steps: 200, Total Reward: -1470.86
Episode: 360, Steps: 200, Total Reward: -1537.25
Episode: 361, Steps: 200, Total Reward: -1601.12
Episode: 362, Steps: 200, Total Reward: -1660.78
Episode: 363, Steps: 200, Total Reward: -1428.82
Episode: 364, Steps: 200, Total Reward: -1611.49
Episode: 365, Steps: 200, Total Reward: -1743.15
Episode: 366, Steps: 200, Total Reward: -1707.66
Episode: 367, Steps: 200, Total Reward: -1613.22
Episode: 368, Steps: 200, Total Reward: -1496.49
Episode: 369, Steps: 200, Total Reward: -1582.14
Episode: 370, Steps: 200, Total Reward: -1476.63
Episode: 371, Steps: 200, Total Reward: -1446.53
Episode: 372, Steps: 200, Total Reward: -1515.70
Episode: 373, Steps: 200, Total Reward: -1740.97
Episode: 374, Steps: 200, Total Reward: -1463.99
Episode: 375, Steps: 200, Total Reward: -1755.28
Episode: 376, Steps: 200, Total Reward: -1706.71
Episode: 377, Steps: 200, Total Reward: -1438.60
Episode: 378, Steps: 200, Total Reward: -1697.16
Episode: 379, Steps: 200, Total Reward: -1668.12
Episode: 380, Steps: 200, Total Reward: -1611.91
Episode: 381, Steps: 200, Total Reward: -1678.47
Episode: 382, Steps: 200, Total Reward: -1530.19
Episode: 383, Steps: 200, Total Reward: -1350.81
Episode: 384, Steps: 200, Total Reward: -1425.45
Episode: 385, Steps: 200, Total Reward: -1773.60
Episode: 386, Steps: 200, Total Reward: -1550.64
