Starting training on Pendulum-v1...
Episode: 123, Steps: 200, Sigma: 0.978, Reward: -1396.94
Episode: 124, Steps: 200, Sigma: 0.978, Reward: -1148.33
Episode: 125, Steps: 200, Sigma: 0.978, Reward: -1685.29
Episode: 126, Steps: 200, Sigma: 0.978, Reward: -1741.89
Episode: 127, Steps: 200, Sigma: 0.977, Reward: -1244.44
Episode: 128, Steps: 200, Sigma: 0.977, Reward: -1582.94
Episode: 129, Steps: 200, Sigma: 0.977, Reward: -1543.17
Episode: 130, Steps: 200, Sigma: 0.977, Reward: -1545.76
Episode: 131, Steps: 200, Sigma: 0.977, Reward: -1600.56
Episode: 132, Steps: 200, Sigma: 0.977, Reward: -1439.74
Episode: 133, Steps: 200, Sigma: 0.976, Reward: -1598.04
Episode: 134, Steps: 200, Sigma: 0.976, Reward: -1417.78
Episode: 135, Steps: 200, Sigma: 0.976, Reward: -1056.17
Episode: 136, Steps: 200, Sigma: 0.976, Reward: -1452.99
Episode: 137, Steps: 200, Sigma: 0.976, Reward: -1612.54
Episode: 138, Steps: 200, Sigma: 0.975, Reward: -1326.50
Episode: 139, Steps: 200, Sigma: 0.975, Reward: -1612.30
Episode: 140, Steps: 200, Sigma: 0.975, Reward: -1504.68
Episode: 141, Steps: 200, Sigma: 0.975, Reward: -1577.97
Episode: 142, Steps: 200, Sigma: 0.975, Reward: -1726.33
Episode: 143, Steps: 200, Sigma: 0.975, Reward: -1773.03
Episode: 144, Steps: 200, Sigma: 0.974, Reward: -1267.63
Episode: 145, Steps: 200, Sigma: 0.974, Reward: -878.66
Episode: 146, Steps: 200, Sigma: 0.974, Reward: -1059.47
Episode: 147, Steps: 200, Sigma: 0.974, Reward: -1661.48
Episode: 148, Steps: 200, Sigma: 0.974, Reward: -1756.04
Episode: 149, Steps: 200, Sigma: 0.974, Reward: -1288.44
Episode: 150, Steps: 200, Sigma: 0.973, Reward: -1465.26
Episode: 151, Steps: 200, Sigma: 0.973, Reward: -960.94
Episode: 152, Steps: 200, Sigma: 0.973, Reward: -1479.54
Episode: 153, Steps: 200, Sigma: 0.973, Reward: -1828.41
Episode: 154, Steps: 200, Sigma: 0.973, Reward: -1351.01
Episode: 155, Steps: 200, Sigma: 0.973, Reward: -841.51
Episode: 156, Steps: 200, Sigma: 0.972, Reward: -1772.75
Episode: 157, Steps: 200, Sigma: 0.972, Reward: -1490.74
Episode: 158, Steps: 200, Sigma: 0.972, Reward: -1367.78
Episode: 159, Steps: 200, Sigma: 0.972, Reward: -1577.22
Episode: 160, Steps: 200, Sigma: 0.972, Reward: -777.72
Episode: 161, Steps: 200, Sigma: 0.971, Reward: -1306.08
Episode: 162, Steps: 200, Sigma: 0.971, Reward: -1777.42
Episode: 163, Steps: 200, Sigma: 0.971, Reward: -1369.53
Episode: 164, Steps: 200, Sigma: 0.971, Reward: -1468.82
Episode: 165, Steps: 200, Sigma: 0.971, Reward: -1404.37
Episode: 166, Steps: 200, Sigma: 0.971, Reward: -1580.99
Episode: 167, Steps: 200, Sigma: 0.970, Reward: -1526.35
Episode: 168, Steps: 200, Sigma: 0.970, Reward: -1570.52
Episode: 169, Steps: 200, Sigma: 0.970, Reward: -1670.06
Episode: 170, Steps: 200, Sigma: 0.970, Reward: -1588.77
Episode: 171, Steps: 200, Sigma: 0.970, Reward: -1570.58
Episode: 172, Steps: 200, Sigma: 0.970, Reward: -1547.93
Episode: 173, Steps: 200, Sigma: 0.969, Reward: -1473.64
Episode: 174, Steps: 200, Sigma: 0.969, Reward: -1672.36
Episode: 175, Steps: 200, Sigma: 0.969, Reward: -1587.49
Episode: 176, Steps: 200, Sigma: 0.969, Reward: -1514.22
Episode: 177, Steps: 200, Sigma: 0.969, Reward: -1565.90
Episode: 178, Steps: 200, Sigma: 0.969, Reward: -1513.42
Episode: 179, Steps: 200, Sigma: 0.968, Reward: -1574.27
Episode: 180, Steps: 200, Sigma: 0.968, Reward: -1565.83
Episode: 181, Steps: 200, Sigma: 0.968, Reward: -1570.37
Episode: 182, Steps: 200, Sigma: 0.968, Reward: -1512.06
Episode: 183, Steps: 200, Sigma: 0.968, Reward: -1679.28
Episode: 184, Steps: 200, Sigma: 0.967, Reward: -1521.94
Episode: 185, Steps: 200, Sigma: 0.967, Reward: -1457.76
Episode: 186, Steps: 200, Sigma: 0.967, Reward: -1511.16
