Starting training on Pendulum-v1...
State Dim: 3, Action Dim: 1, Max Action: 2.0
Episode: 205, Steps: 200, Total Reward: -1670.46
Episode: 206, Steps: 200, Total Reward: -1678.50
Episode: 207, Steps: 200, Total Reward: -1667.51
Episode: 208, Steps: 200, Total Reward: -1506.66
Episode: 209, Steps: 200, Total Reward: -1584.08
Episode: 210, Steps: 200, Total Reward: -1667.89
Episode: 211, Steps: 200, Total Reward: -1522.13
Episode: 212, Steps: 200, Total Reward: -1612.68
Episode: 213, Steps: 200, Total Reward: -1452.10
Episode: 214, Steps: 200, Total Reward: -1630.80
Episode: 215, Steps: 200, Total Reward: -1591.47
Episode: 216, Steps: 200, Total Reward: -1677.14
Episode: 217, Steps: 200, Total Reward: -1610.62
Episode: 218, Steps: 200, Total Reward: -1591.12
Episode: 219, Steps: 200, Total Reward: -1575.75
Episode: 220, Steps: 200, Total Reward: -1543.77
Episode: 221, Steps: 200, Total Reward: -1605.16
Episode: 222, Steps: 200, Total Reward: -1483.98
Episode: 223, Steps: 200, Total Reward: -1603.11
Episode: 224, Steps: 200, Total Reward: -1541.40
Episode: 225, Steps: 200, Total Reward: -1519.60
Episode: 226, Steps: 200, Total Reward: -1626.65
Episode: 227, Steps: 200, Total Reward: -1565.63
Episode: 228, Steps: 200, Total Reward: -1683.66
Episode: 229, Steps: 200, Total Reward: -1544.78
Episode: 230, Steps: 200, Total Reward: -1469.83
Episode: 231, Steps: 200, Total Reward: -1576.02
Episode: 232, Steps: 200, Total Reward: -1553.60
Episode: 233, Steps: 200, Total Reward: -1544.22
Episode: 234, Steps: 200, Total Reward: -1598.24
Episode: 235, Steps: 200, Total Reward: -1508.53
Episode: 236, Steps: 200, Total Reward: -1484.16
Episode: 237, Steps: 200, Total Reward: -1532.65
Episode: 238, Steps: 200, Total Reward: -1571.06
Episode: 239, Steps: 200, Total Reward: -1549.29
Episode: 240, Steps: 200, Total Reward: -1559.13
Episode: 241, Steps: 200, Total Reward: -1554.08
Episode: 242, Steps: 200, Total Reward: -1540.01
Episode: 243, Steps: 200, Total Reward: -1661.97
Episode: 244, Steps: 200, Total Reward: -1603.62
Episode: 245, Steps: 200, Total Reward: -1486.16
Episode: 246, Steps: 200, Total Reward: -1356.67
Episode: 247, Steps: 200, Total Reward: -1674.22
Episode: 248, Steps: 200, Total Reward: -1582.28
Episode: 249, Steps: 200, Total Reward: -1522.24
Episode: 250, Steps: 200, Total Reward: -1621.79
Episode: 251, Steps: 200, Total Reward: -1522.65
Episode: 252, Steps: 200, Total Reward: -1580.91
Episode: 253, Steps: 200, Total Reward: -1562.01
Episode: 254, Steps: 200, Total Reward: -1581.06
Episode: 255, Steps: 200, Total Reward: -1595.47
Episode: 256, Steps: 200, Total Reward: -1601.97
Episode: 257, Steps: 200, Total Reward: -1422.66
Episode: 258, Steps: 200, Total Reward: -1589.32
Episode: 259, Steps: 200, Total Reward: -1569.42
Episode: 260, Steps: 200, Total Reward: -1607.71
Episode: 261, Steps: 200, Total Reward: -1574.77
Episode: 262, Steps: 200, Total Reward: -1592.08
Episode: 263, Steps: 200, Total Reward: -1524.44
Episode: 264, Steps: 200, Total Reward: -1570.09
Episode: 265, Steps: 200, Total Reward: -1658.94
Episode: 266, Steps: 200, Total Reward: -1530.26
Episode: 267, Steps: 200, Total Reward: -1584.47
Episode: 268, Steps: 200, Total Reward: -1542.52
Episode: 269, Steps: 200, Total Reward: -1574.64
Episode: 270, Steps: 200, Total Reward: -1573.71
Episode: 271, Steps: 200, Total Reward: -1572.98
Episode: 272, Steps: 200, Total Reward: -1647.06
Episode: 273, Steps: 200, Total Reward: -1602.40
Episode: 274, Steps: 200, Total Reward: -1583.85
Episode: 275, Steps: 200, Total Reward: -1619.34
Episode: 276, Steps: 200, Total Reward: -1596.58
Episode: 277, Steps: 200, Total Reward: -1658.56
Episode: 278, Steps: 200, Total Reward: -1579.47
Episode: 279, Steps: 200, Total Reward: -1592.37
Episode: 280, Steps: 200, Total Reward: -1592.48
Episode: 281, Steps: 200, Total Reward: -1612.29
Episode: 282, Steps: 200, Total Reward: -1618.15
Episode: 283, Steps: 200, Total Reward: -1657.31
Episode: 284, Steps: 200, Total Reward: -1642.22
Episode: 285, Steps: 200, Total Reward: -1618.77
Episode: 286, Steps: 200, Total Reward: -1686.02
Episode: 287, Steps: 200, Total Reward: -1642.43
Episode: 288, Steps: 200, Total Reward: -1567.39
Episode: 289, Steps: 200, Total Reward: -1610.57
Episode: 290, Steps: 200, Total Reward: -1670.84
Episode: 291, Steps: 200, Total Reward: -1649.95
Episode: 292, Steps: 200, Total Reward: -1584.07
Episode: 293, Steps: 200, Total Reward: -1566.19
Episode: 294, Steps: 200, Total Reward: -1642.11
Episode: 295, Steps: 200, Total Reward: -1660.08
Episode: 296, Steps: 200, Total Reward: -1555.36
Episode: 297, Steps: 200, Total Reward: -1685.80
Episode: 298, Steps: 200, Total Reward: -1642.74
Episode: 299, Steps: 200, Total Reward: -1561.92
Episode: 300, Steps: 200, Total Reward: -1588.31
Episode: 301, Steps: 200, Total Reward: -1619.51
Episode: 302, Steps: 200, Total Reward: -1668.57
Episode: 303, Steps: 200, Total Reward: -1670.95
Episode: 304, Steps: 200, Total Reward: -1666.14
Episode: 305, Steps: 200, Total Reward: -1461.00
Episode: 306, Steps: 200, Total Reward: -1674.58
Episode: 307, Steps: 200, Total Reward: -1550.21
Episode: 308, Steps: 200, Total Reward: -1583.21
Episode: 309, Steps: 200, Total Reward: -1663.37
