Starting CACLA training on Pendulum-v1...
Episode: 1650, Steps: 200, Sigma: 0.133, Reward: -137.09
Episode: 1660, Steps: 200, Sigma: 0.133, Reward: -1494.30
Episode: 1670, Steps: 200, Sigma: 0.132, Reward: -1055.31
Episode: 1680, Steps: 200, Sigma: 0.131, Reward: -375.68
Episode: 1690, Steps: 200, Sigma: 0.131, Reward: -132.11
Episode: 1700, Steps: 200, Sigma: 0.130, Reward: -142.65
Episode: 1710, Steps: 200, Sigma: 0.129, Reward: -1328.47
Episode: 1720, Steps: 200, Sigma: 0.129, Reward: -1535.16
Episode: 1730, Steps: 200, Sigma: 0.128, Reward: -479.75
Episode: 1740, Steps: 200, Sigma: 0.128, Reward: -1314.98
Episode: 1750, Steps: 200, Sigma: 0.127, Reward: -127.63
Episode: 1760, Steps: 200, Sigma: 0.127, Reward: -727.50
Episode: 1770, Steps: 200, Sigma: 0.126, Reward: -1503.54
Episode: 1780, Steps: 200, Sigma: 0.126, Reward: -1312.86
Episode: 1790, Steps: 200, Sigma: 0.125, Reward: -1061.70
Episode: 1800, Steps: 200, Sigma: 0.125, Reward: -1179.47
Episode: 1810, Steps: 200, Sigma: 0.124, Reward: -1316.08
Episode: 1820, Steps: 200, Sigma: 0.124, Reward: -1387.97
Episode: 1830, Steps: 200, Sigma: 0.123, Reward: -242.95
Episode: 1840, Steps: 200, Sigma: 0.123, Reward: -1231.35
Episode: 1850, Steps: 200, Sigma: 0.122, Reward: -1280.90
Episode: 1860, Steps: 200, Sigma: 0.122, Reward: -1180.48
Episode: 1870, Steps: 200, Sigma: 0.121, Reward: -1105.31
Episode: 1880, Steps: 200, Sigma: 0.121, Reward: -1357.55
Episode: 1890, Steps: 200, Sigma: 0.121, Reward: -1328.79
Episode: 1900, Steps: 200, Sigma: 0.120, Reward: -1072.58
Episode: 1910, Steps: 200, Sigma: 0.120, Reward: -134.55
Episode: 1920, Steps: 200, Sigma: 0.119, Reward: -1483.42
Episode: 1930, Steps: 200, Sigma: 0.119, Reward: -9.89
Episode: 1940, Steps: 200, Sigma: 0.119, Reward: -1333.38
Episode: 1950, Steps: 200, Sigma: 0.118, Reward: -1502.62
Episode: 1960, Steps: 200, Sigma: 0.118, Reward: -947.95
Episode: 1970, Steps: 200, Sigma: 0.118, Reward: -1306.42
Episode: 1980, Steps: 200, Sigma: 0.117, Reward: -1610.08
Episode: 1990, Steps: 200, Sigma: 0.117, Reward: -1560.22
