Starting CACLA training on Pendulum-v1...
Episode: 1410, Steps: 200, Sigma: 0.154, Reward: -265.45
Episode: 1420, Steps: 200, Sigma: 0.153, Reward: -401.51
Episode: 1430, Steps: 200, Sigma: 0.152, Reward: -1509.12
Episode: 1440, Steps: 200, Sigma: 0.151, Reward: -1355.61
Episode: 1450, Steps: 200, Sigma: 0.150, Reward: -812.05
Episode: 1460, Steps: 200, Sigma: 0.149, Reward: -134.56
Episode: 1470, Steps: 200, Sigma: 0.148, Reward: -261.75
Episode: 1480, Steps: 200, Sigma: 0.147, Reward: -1288.20
Episode: 1490, Steps: 200, Sigma: 0.146, Reward: -120.00
Episode: 1500, Steps: 200, Sigma: 0.145, Reward: -395.04
Episode: 1510, Steps: 200, Sigma: 0.144, Reward: -1557.57
Episode: 1520, Steps: 200, Sigma: 0.143, Reward: -1493.20
Episode: 1530, Steps: 200, Sigma: 0.142, Reward: -1489.01
Episode: 1540, Steps: 200, Sigma: 0.141, Reward: -261.92
Episode: 1550, Steps: 200, Sigma: 0.141, Reward: -1437.18
Episode: 1560, Steps: 200, Sigma: 0.140, Reward: -746.32
Episode: 1570, Steps: 200, Sigma: 0.139, Reward: -1398.83
Episode: 1580, Steps: 200, Sigma: 0.138, Reward: -1092.19
Episode: 1590, Steps: 200, Sigma: 0.137, Reward: -1520.84
Episode: 1600, Steps: 200, Sigma: 0.137, Reward: -1508.56
Episode: 1610, Steps: 200, Sigma: 0.136, Reward: -1407.00
Episode: 1620, Steps: 200, Sigma: 0.135, Reward: -136.77
Episode: 1630, Steps: 200, Sigma: 0.135, Reward: -1480.89
Episode: 1640, Steps: 200, Sigma: 0.134, Reward: -404.60
Episode: 1650, Steps: 200, Sigma: 0.133, Reward: -6.34
Episode: 1660, Steps: 200, Sigma: 0.133, Reward: -270.90
Episode: 1670, Steps: 200, Sigma: 0.132, Reward: -1066.40
Episode: 1680, Steps: 200, Sigma: 0.131, Reward: -126.12
Episode: 1690, Steps: 200, Sigma: 0.131, Reward: -383.87
Episode: 1700, Steps: 200, Sigma: 0.130, Reward: -1521.66
Episode: 1710, Steps: 200, Sigma: 0.129, Reward: -3.81
Episode: 1720, Steps: 200, Sigma: 0.129, Reward: -130.17
Episode: 1730, Steps: 200, Sigma: 0.128, Reward: -421.68
Episode: 1740, Steps: 200, Sigma: 0.128, Reward: -126.32
Episode: 1750, Steps: 200, Sigma: 0.127, Reward: -1350.23
Episode: 1760, Steps: 200, Sigma: 0.127, Reward: -968.55
Episode: 1770, Steps: 200, Sigma: 0.126, Reward: -1514.21
Episode: 1780, Steps: 200, Sigma: 0.126, Reward: -1537.82
Episode: 1790, Steps: 200, Sigma: 0.125, Reward: -1255.40
Episode: 1800, Steps: 200, Sigma: 0.125, Reward: -1372.57
Episode: 1810, Steps: 200, Sigma: 0.124, Reward: -1536.59
Episode: 1820, Steps: 200, Sigma: 0.124, Reward: -1565.11
Episode: 1830, Steps: 200, Sigma: 0.123, Reward: -0.04
Episode: 1840, Steps: 200, Sigma: 0.123, Reward: -126.26
Episode: 1850, Steps: 200, Sigma: 0.122, Reward: -140.27
Episode: 1860, Steps: 200, Sigma: 0.122, Reward: -1194.85
Episode: 1870, Steps: 200, Sigma: 0.121, Reward: -0.37
Episode: 1880, Steps: 200, Sigma: 0.121, Reward: -1520.78
Episode: 1890, Steps: 200, Sigma: 0.121, Reward: -1148.92
Episode: 1900, Steps: 200, Sigma: 0.120, Reward: -989.47
Episode: 1910, Steps: 200, Sigma: 0.120, Reward: -137.32
Episode: 1920, Steps: 200, Sigma: 0.119, Reward: -1072.25
Episode: 1930, Steps: 200, Sigma: 0.119, Reward: -1525.08
Episode: 1940, Steps: 200, Sigma: 0.119, Reward: -0.18
Episode: 1950, Steps: 200, Sigma: 0.118, Reward: -128.67
Episode: 1960, Steps: 200, Sigma: 0.118, Reward: -0.77
Episode: 1970, Steps: 200, Sigma: 0.118, Reward: -1387.96
Episode: 1980, Steps: 200, Sigma: 0.117, Reward: -1297.53
Episode: 1990, Steps: 200, Sigma: 0.117, Reward: -1437.80
