Starting training on Pendulum-v1...
Episode: 183, Steps: 200, Total Reward: -926.33
Episode: 184, Steps: 200, Total Reward: -1311.22
Episode: 185, Steps: 200, Total Reward: -981.70
Episode: 186, Steps: 200, Total Reward: -947.57
Episode: 187, Steps: 200, Total Reward: -1028.19
Episode: 188, Steps: 200, Total Reward: -1254.35
Episode: 189, Steps: 200, Total Reward: -1124.55
Episode: 190, Steps: 200, Total Reward: -1706.97
Episode: 191, Steps: 200, Total Reward: -1446.73
Episode: 192, Steps: 200, Total Reward: -1168.03
Episode: 193, Steps: 200, Total Reward: -1461.04
Episode: 194, Steps: 200, Total Reward: -1027.66
Episode: 195, Steps: 200, Total Reward: -1602.12
Episode: 196, Steps: 200, Total Reward: -1305.70
Episode: 197, Steps: 200, Total Reward: -1069.53
Episode: 198, Steps: 200, Total Reward: -1177.53
Episode: 199, Steps: 200, Total Reward: -1589.71
Episode: 200, Steps: 200, Total Reward: -1057.12
Episode: 201, Steps: 200, Total Reward: -1296.10
Episode: 202, Steps: 200, Total Reward: -1189.10
Episode: 203, Steps: 200, Total Reward: -1666.65
Episode: 204, Steps: 200, Total Reward: -1676.67
Episode: 205, Steps: 200, Total Reward: -1652.15
Episode: 206, Steps: 200, Total Reward: -1731.99
Episode: 207, Steps: 200, Total Reward: -1228.59
Episode: 208, Steps: 200, Total Reward: -1487.03
Episode: 209, Steps: 200, Total Reward: -1619.41
Episode: 210, Steps: 200, Total Reward: -1061.58
Episode: 211, Steps: 200, Total Reward: -1525.43
Episode: 212, Steps: 200, Total Reward: -1655.93
Episode: 213, Steps: 200, Total Reward: -1352.32
Episode: 214, Steps: 200, Total Reward: -1521.79
Episode: 215, Steps: 200, Total Reward: -1709.84
Episode: 216, Steps: 200, Total Reward: -1257.88
Episode: 217, Steps: 200, Total Reward: -1210.90
Episode: 218, Steps: 200, Total Reward: -1358.20
Episode: 219, Steps: 200, Total Reward: -1419.19
Episode: 220, Steps: 200, Total Reward: -1082.90
Episode: 221, Steps: 200, Total Reward: -1629.71
Episode: 222, Steps: 200, Total Reward: -1588.27
Episode: 223, Steps: 200, Total Reward: -1392.44
Episode: 224, Steps: 200, Total Reward: -1281.44
Episode: 225, Steps: 200, Total Reward: -1512.48
Episode: 226, Steps: 200, Total Reward: -1253.32
Episode: 227, Steps: 200, Total Reward: -859.95
Episode: 228, Steps: 200, Total Reward: -1147.65
Episode: 229, Steps: 200, Total Reward: -1534.64
Episode: 230, Steps: 200, Total Reward: -1162.17
Episode: 231, Steps: 200, Total Reward: -1357.13
Episode: 232, Steps: 200, Total Reward: -1654.10
Episode: 233, Steps: 200, Total Reward: -1165.48
Episode: 234, Steps: 200, Total Reward: -1494.01
Episode: 235, Steps: 200, Total Reward: -1301.94
Episode: 236, Steps: 200, Total Reward: -836.96
Episode: 237, Steps: 200, Total Reward: -888.43
Episode: 238, Steps: 200, Total Reward: -1515.83
Episode: 239, Steps: 200, Total Reward: -1404.79
Episode: 240, Steps: 200, Total Reward: -1148.97
Episode: 241, Steps: 200, Total Reward: -1250.48
Episode: 242, Steps: 200, Total Reward: -1447.73
Episode: 243, Steps: 200, Total Reward: -1278.31
Episode: 244, Steps: 200, Total Reward: -1003.20
Episode: 245, Steps: 200, Total Reward: -1325.32
Episode: 246, Steps: 200, Total Reward: -1188.92
Episode: 247, Steps: 200, Total Reward: -1622.18
Episode: 248, Steps: 200, Total Reward: -1250.19
Episode: 249, Steps: 200, Total Reward: -987.17
Episode: 250, Steps: 200, Total Reward: -931.33
Episode: 251, Steps: 200, Total Reward: -1202.99
Episode: 252, Steps: 200, Total Reward: -970.33
Episode: 253, Steps: 200, Total Reward: -1678.42
Episode: 254, Steps: 200, Total Reward: -928.34
Episode: 255, Steps: 200, Total Reward: -1450.05
Episode: 256, Steps: 200, Total Reward: -1034.72
Episode: 257, Steps: 200, Total Reward: -1364.84
Episode: 258, Steps: 200, Total Reward: -1321.90
Episode: 259, Steps: 200, Total Reward: -1067.63
Episode: 260, Steps: 200, Total Reward: -1211.07
Episode: 261, Steps: 200, Total Reward: -997.96
Episode: 262, Steps: 200, Total Reward: -1295.69
Episode: 263, Steps: 200, Total Reward: -1206.26
Episode: 264, Steps: 200, Total Reward: -963.59
Episode: 265, Steps: 200, Total Reward: -1525.20
Episode: 266, Steps: 200, Total Reward: -1444.48
Episode: 267, Steps: 200, Total Reward: -1215.22
Episode: 268, Steps: 200, Total Reward: -1406.89
Episode: 269, Steps: 200, Total Reward: -1085.44
Episode: 270, Steps: 200, Total Reward: -947.13
Episode: 271, Steps: 200, Total Reward: -1126.05
Episode: 272, Steps: 200, Total Reward: -1448.22
Episode: 273, Steps: 200, Total Reward: -1014.06
Episode: 274, Steps: 200, Total Reward: -1000.21
Episode: 275, Steps: 200, Total Reward: -1168.32
Episode: 276, Steps: 200, Total Reward: -1125.99
Episode: 277, Steps: 200, Total Reward: -1493.50
Episode: 278, Steps: 200, Total Reward: -1155.95
Episode: 279, Steps: 200, Total Reward: -953.41
Episode: 280, Steps: 200, Total Reward: -1393.56
Episode: 281, Steps: 200, Total Reward: -1459.42
Episode: 282, Steps: 200, Total Reward: -1027.21
Episode: 283, Steps: 200, Total Reward: -849.67
Episode: 284, Steps: 200, Total Reward: -1170.28
Episode: 285, Steps: 200, Total Reward: -1277.90
Episode: 286, Steps: 200, Total Reward: -1690.58
Episode: 287, Steps: 200, Total Reward: -864.29
Episode: 288, Steps: 200, Total Reward: -1167.02
Episode: 289, Steps: 200, Total Reward: -1121.80
Episode: 290, Steps: 200, Total Reward: -1311.40
Episode: 291, Steps: 200, Total Reward: -1064.73
Episode: 292, Steps: 200, Total Reward: -1204.88
Episode: 293, Steps: 200, Total Reward: -1350.48
Episode: 294, Steps: 200, Total Reward: -1202.40
Episode: 295, Steps: 200, Total Reward: -1084.53
Episode: 296, Steps: 200, Total Reward: -1322.11
Episode: 297, Steps: 200, Total Reward: -1422.05
Episode: 298, Steps: 200, Total Reward: -1534.62
Episode: 299, Steps: 200, Total Reward: -1579.27
Episode: 300, Steps: 200, Total Reward: -1143.70
Episode: 301, Steps: 200, Total Reward: -1190.45
Episode: 302, Steps: 200, Total Reward: -1187.62
Episode: 303, Steps: 200, Total Reward: -996.49
Episode: 304, Steps: 200, Total Reward: -1048.95
Episode: 305, Steps: 200, Total Reward: -973.09
Episode: 306, Steps: 200, Total Reward: -1542.36
Episode: 307, Steps: 200, Total Reward: -1517.61
Episode: 308, Steps: 200, Total Reward: -1765.42
Episode: 309, Steps: 200, Total Reward: -1466.17
Episode: 310, Steps: 200, Total Reward: -1207.06
Episode: 311, Steps: 200, Total Reward: -1190.61
Episode: 312, Steps: 200, Total Reward: -1173.89
Episode: 313, Steps: 200, Total Reward: -1060.33
Episode: 314, Steps: 200, Total Reward: -982.23
Episode: 315, Steps: 200, Total Reward: -1535.66
Episode: 316, Steps: 200, Total Reward: -1554.77
Episode: 317, Steps: 200, Total Reward: -1437.62
Episode: 318, Steps: 200, Total Reward: -1351.55
Episode: 319, Steps: 200, Total Reward: -1483.86
Episode: 320, Steps: 200, Total Reward: -1627.67
Episode: 321, Steps: 200, Total Reward: -1599.71
Episode: 322, Steps: 200, Total Reward: -1333.78
Episode: 323, Steps: 200, Total Reward: -1668.12
Episode: 324, Steps: 200, Total Reward: -1250.21
Episode: 325, Steps: 200, Total Reward: -1145.06
Episode: 326, Steps: 200, Total Reward: -1435.09
Episode: 327, Steps: 200, Total Reward: -1270.74
Episode: 328, Steps: 200, Total Reward: -1094.11
Episode: 329, Steps: 200, Total Reward: -1219.42
Episode: 330, Steps: 200, Total Reward: -1098.21
Episode: 331, Steps: 200, Total Reward: -1250.37
Episode: 332, Steps: 200, Total Reward: -1088.79
Episode: 333, Steps: 200, Total Reward: -895.09
Episode: 334, Steps: 200, Total Reward: -1490.01
Episode: 335, Steps: 200, Total Reward: -1123.80
Episode: 336, Steps: 200, Total Reward: -1058.74
Episode: 337, Steps: 200, Total Reward: -1313.23
Episode: 338, Steps: 200, Total Reward: -1441.46
